"countrycode","year","timeperiod","logprivatecredit","inflation","logtrade","logschooling","growthingini","growthgdppercapita","loginitialgini","span","loginitialgdppercapita","growthlowestincomeshare","loginitiallowestincomeshare"
"CAN",1965,1,-1.18617403507233,4.28629112243652,3.70657992362976,2.17645502090454,0.00328910001553595,0.0254951007664204,3.4534740447998,6,9.4290018081665,-0.0131262997165322,1.96431005001068
"CAN",1971,2,-0.774087309837341,8.77728080749512,3.8185830116272,2.27849698066711,-0.00140169996302575,0.0328666009008884,3.47320795059204,6,9.58197212219238,-0.00435579987242818,1.88555002212524
"CAN",1977,3,-0.309326201677322,8.93680953979492,3.93483209609985,2.33359909057617,-0.0167606994509697,0.00771709997206926,3.46479797363281,5,9.77917194366455,0.0286825001239777,1.85941994190216
"CAN",1982,4,-0.271032094955444,4.61779880523682,3.9536280632019,2.37602090835571,0.0186905991286039,0.0337557010352612,3.38099503517151,5,9.81775760650635,-0.0186576005071402,2.00283002853394
"CAN",1987,5,-0.13953959941864,2.97613191604614,4.01921796798706,2.39698600769043,-0.00331300008110702,0.00502699986100197,3.47444796562195,7,9.98653602600098,0.015298499725759,1.90954005718231
"CAN",1994,6,-0.0548580996692181,1.26253199577332,4.33308887481689,2.43291091918945,0.0258962009102106,0.0280344001948833,3.45125699043274,5,10.0217199325562,-0.0238965004682541,2.01662993431091
"CHE",1982,1,0.34584641456604,3.57395911216736,4.24495983123779,2.31688189506531,-0.000416900002164766,0.0130559001117945,3.58490705490112,10,9.99124908447266,-0.0170904006808996,1.99545001983643
"CHE",1992,2,0.478395789861679,0.925536394119263,4.23084688186646,2.3328230381012,-0.0196886006742716,0.00383189995773137,3.58073711395264,6,10.1218099594116,0.0428854003548622,1.82455003261566
"CHL",1968,1,-2.02337098121643,163.149200439453,3.62379097938538,1.72490704059601,0.0127884997054934,0.0129011003300548,3.82078504562378,12,8.44154644012451,-0.0314140990376472,1.50408005714416
"CHL",1980,2,-0.715968728065491,21.3747100830078,3.89979910850525,1.85941803455353,0.00839350000023842,-0.00216290005482733,3.97424602508545,7,8.596360206604,0.0167210008949041,1.12711000442505
"CHL",1987,3,-0.801836013793945,18.7766799926758,4.13442277908325,1.94089794158936,-0.0214150007814169,0.0589521005749702,4.03300094604492,5,8.58121967315674,0.0333665013313293,1.2441600561142
"CHL",1992,4,-0.557566702365875,9.02696800231934,4.03712797164917,1.98100101947784,0.0162730999290943,0.052395798265934,3.92592597007751,6,8.87598037719726,-0.07133399695158,1.41098999977112
"CIV",1985,1,-1.04914498329163,-0.541634917259216,4.13523721694946,1.79769313486232e+308,-0.0137748001143336,-0.0206530001014471,3.71868109703064,8,7.75067806243896,0.0267897006124258,1.73871004581451
"CIV",1993,2,-1.59060597419739,13.0006399154663,4.25295782089233,1.79769313486232e+308,0.0369514003396034,0.00239209993742406,3.60848307609558,5,7.58545398712158,-0.0496558994054794,1.95302999019623
"CMR",1983,1,-1.57963502407074,5.26487684249878,3.7874391078949,0.999528288841248,0.0150643000379205,-0.0243692994117737,3.89181995391846,13,7.86361122131348,-0.0387937016785145,1.33722996711731
"CMR",1996,2,-2.58450293540955,2.41475009918213,3.94461798667908,1.2641270160675,-0.0597860999405384,0.0212610997259617,4.08765602111816,5,7.5468111038208,0.177971497178078,0.832910001277924
"COL",1964,1,-1.6931289434433,10.2790603637695,3.26735210418701,1.09694397449493,-0.0292509999126196,0.0201607998460531,4.12713384628296,6,7.93716192245483,0.192431896924973,0.78846001625061
"COL",1970,2,-1.64942395687103,19.52467918396,3.40016794204712,1.11546897888184,0.00582160009071231,0.0327294990420342,3.95162796974182,8,8.05812740325928,-0.101455800235271,1.94305002689362
"COL",1978,3,-1.34441196918488,24.0042591094971,3.33682489395142,1.48319399356842,-0.00624610017985106,0.0140605997294188,3.9982008934021,10,8.3199634552002,0.0176931004971266,1.13139998912811
"COL",1988,4,-1.44939398765564,27.3897094726562,3.5288360118866,1.54777503013611,0.0163292996585369,0.0211811996996403,3.93573999404907,7,8.46056938171387,-0.0211874004453421,1.30833005905151
"COL",1995,5,-1.11556696891785,15.3449201583862,3.60230588912964,1.60221195220947,0,-0.00355029990896583,4.05004501342773,5,8.60883808135986,-0.0552507005631924,1.16001999378204
"CRI",1961,1,-1.36680805683136,1.83348000049591,4.06315612792969,1.42599594593048,0,0.023624999448657,3.91202306747436,8,8.10497570037842,-0.014975200407207,1.82455003261566
"CRI",1969,2,-1.37235605716705,12.9863395690918,4.20833492279053,1.37143397331238,0,0.0352141000330448,3.91202306747436,8,8.29397583007812,-0.0843911021947861,1.70474994182587
"CRI",1977,3,-1.43443202972412,29.6834697723389,4.28936910629272,1.64673399925232,-0.0348706990480423,-0.0313418991863728,3.91202306747436,5,8.57568836212158,0.124437101185322,1.02962005138397
"CRI",1982,4,-1.76033997535706,26.5780296325684,4.26151895523071,1.68361699581146,0.0132131995633245,0.0110512999817729,3.73766994476318,7,8.41897869110107,-0.0379301011562347,1.65181005001068
"CRI",1989,5,-2.09701204299927,22.8040294647217,4.33534479141235,1.71451795101166,0.00309800007380545,0.00722330017015338,3.83016204833984,7,8.496337890625,0.0014214999973774,1.38628995418549
"DNK",1963,1,-1.29203200340271,8.79758834838867,4.04961919784546,2.17133688926697,-0.0136101003736258,0.0295333005487919,3.61091804504394,13,9.40222454071045,0.025772500783205,1.60943996906281
"DNK",1976,2,-1.39340198040009,9.44371604919434,4.13264894485474,2.19522309303284,-6.44999963697046e-05,-0.000261700013652444,3.43398690223694,5,9.78615856170654,-0.00937210023403168,1.94447994232178
"DNK",1981,3,-1.36106598377228,7.69624090194702,4.24936819076538,2.21068906784058,0.0510430000722408,0.0343726985156536,3.43366503715515,5,9.78485012054443,-0.0325429998338222,1.89761996269226
"DNK",1986,4,-0.785848379135132,3.88210511207581,4.17656898498535,2.25988602638245,-0.00506359990686178,0.00800289958715439,3.68887901306152,5,9.95671367645264,0.0081088999286294,1.7349100112915
"DNK",1991,5,-1.03066098690033,2.17262697219849,4.20028018951416,2.23996496200562,-0.00345430010929704,0.0201526992022991,3.66356205940247,6,9.99672794342041,0.0134747000411153,1.7754499912262
"DNK",1997,6,-0.250979900360107,1.95416903495789,4.33590888977051,2.26809692382812,0.00414519989863038,0.0165830999612808,3.64283609390259,5,10.117639541626,-0.00634970003738999,1.85629999637604
"DOM",1976,1,-1.28049099445343,8.38211059570312,3.80346298217773,1.32228899002075,-0.00484259985387325,0.0198347996920347,3.80666303634644,8,7.88333892822266,0.0205780994147062,1.52177000045776
"DOM",1984,2,-1.34671401977539,26.7420692443848,4.1994137763977,1.39945697784424,0.0306519009172916,0.0130725996568799,3.76792192459106,5,8.04201698303223,-0.0502628982067108,1.68640005588532
"DOM",1989,3,-1.4835000038147,21.4918308258057,4.23216390609741,1.48997795581818,-0.00504240021109581,0.0240543000400066,3.92118096351624,7,8.10737991333008,0.00269549991935492,1.43508005142212
"DZA",1988,1,-1.3308869600296,25.2907199859619,3.87185311317444,1.447625041008,-0.0132473995909095,-0.0167047008872032,3.6566150188446,7,8.55447292327881,0.00414110021665692,1.91691994667053
"ECU",1968,1,-1.64975595474243,4.93705701828003,3.91290593147278,1.26214694976807,0.00722779985517263,0.0280703008174896,3.63758611679077,20,7.70118093490601,-0.0174947995692492,1.8405499458313
"ECU",1988,2,-1.83929300308228,7.59256219863892,4.1102819442749,1.77512204647064,-0.00349029991775751,0.000112499998067506,3.78214192390442,6,8.26258659362793,0.0313849002122879,1.49065005779266
"ECU",1994,3,-1.25590598583221,1.20024704933166,3.95485711097717,1.81563901901245,0.0625884011387825,-0.0226776003837585,3.76119995117188,5,8.26326179504394,-0.183631598949432,1.67895996570587
"EGY",1959,1,-1.53491997718811,3.05226492881775,3.66055607795715,1.79769313486232e+308,-0.00813169963657856,0.0353945009410381,3.73766994476318,6,7.25913381576538,0.013849999755621,1.65181005001068
"EGY",1965,2,-1.76127696037292,4.69566297531128,3.64356994628906,0.437609612941742,-0.00512930005788803,-0.00385210011154413,3.68887901306152,10,7.47150087356567,0.00804479978978634,1.7349100112915
"EGY",1975,3,-1.38392603397369,13.6464004516602,4.07707691192627,0.437609612941742,-0.0107405995950103,0.0431497991085052,3.63758611679077,16,7.43298006057739,0.021748099476099,1.81535005569458
"EGY",1991,4,-1.23066198825836,11.6082601547241,4.00742387771606,1.60643303394318,0.0150447003543377,0.0185174997895956,3.465735912323,5,8.12337589263916,-0.0426155999302864,2.16332006454468
"ESP",1965,1,-0.367255002260208,7.89772891998291,3.18635392189026,1.32441902160645,0.0185579005628824,0.0547857992351055,3.46542310714722,8,8.85059833526611,-0.0184266995638609,1.96711003780365
"ESP",1973,2,-0.311842113733292,16.9208602905273,3.37451505661011,1.5556149482727,-0.0465511009097099,0.00876030046492815,3.6138870716095,7,9.28888511657715,0.0411553010344505,1.81970000267029
"ESP",1980,3,-0.340798497200012,11.7721395492554,3.62082099914551,1.76095700263977,-0.0123162996023893,0.00465509993955493,3.2880289554596,5,9.35020732879639,0.0320415012538433,2.10778999328613
"ESP",1985,4,-0.367905408143997,7.59618186950684,3.60558700561523,1.76095700263977,0.0508355014026165,0.0413694009184837,3.22644710540772,5,9.3734827041626,-0.0494592003524303,2.26799011230469
"ESP",1990,5,-0.27934530377388,5.40631818771362,3.67175698280334,1.86283898353577,-0.0573767982423306,0.0117571000009775,3.480623960495,6,9.58032989501953,0.0499545000493526,2.02069997787476
"ESP",1996,6,-0.180226907134056,3.0983419418335,3.9980161190033,1.98513102531433,0.0832246989011764,0.0357839986681938,3.1363639831543,5,9.65087223052978,-0.0481966994702816,2.3204300403595
"ETH",1981,1,-1.87746095657349,7.1728458404541,3.23729205131531,1.79769313486232e+308,0.0150073999539018,-0.013086499646306,3.47877597808838,14,6.45260620117188,-0.0133574996143579,2.14709997177124
"ETH",1995,2,-1.53018295764923,5.62275218963623,3.69726800918579,1.79769313486232e+308,-0.0595465004444122,0.0367166996002197,3.68887901306152,5,6.26939487457275,0.049635898321867,1.96010005474091
"FIN",1962,1,-0.960754871368408,6.36313104629517,3.78023791313171,1.74536597728729,-0.0592004992067814,0.0398885011672974,3.82864093780518,9,9.0045747756958,0.149071902036667,0.875469982624054
"FIN",1971,2,-0.900392889976502,12.5944900512695,3.93918204307556,1.89566898345947,0.02004149928689,0.0251083001494408,3.29583692550659,6,9.36357116699219,-0.0500321984291077,2.21711993217468
