"country","year","logagedependency","countrycode","loginitialheadcount","loginitialpovertygap","growthinheadcount","growthinpovertygap","timespan","loginitialgini","growthinmeanincome","growthingdppercapita","logprivatecredit","logcommercialcentralbank","inflation","populationgrowth","logtrade","logschooling"
"Indonesia",1987,-0.362545192241669,"IDN",3.33754706382751,1.80828905105591,-0.0880874022841454,-0.126839995384216,15,3.50013709068298,0.025688299909234,0.0310508999973536,-1.23932504653931,-0.15487439930439,15.0292797088623,1.5227689743042,4.04071617126465,1.38804304599762
"Iran, Islamic Rep.",1986,-0.0807404965162277,"IRN",0.425267696380615,-1.1394339799881,-0.147695094347,-0.17328679561615,12,3.85904407501221,0.00866829976439476,0.0254691001027822,-1.30784904956818,-0.584025204181671,23.6522598266602,2.09568500518799,3.48467397689819,1.3770010471344
"Jamaica",1988,-0.285687506198883,"JAM",1.61343002319336,0.322083503007889,-0.208752304315567,-0.261291205883026,12,3.76491403579712,0.0132641000673175,-0.000409400003263727,-1.45312404632568,-0.265814691781998,23.9375991821289,0.744239628314972,4.60791921615601,1.55688095092773
"Kenya",1992,0.0235593002289534,"KEN",3.51273894309998,2.55100607872009,-0.102105498313904,-0.194818302989006,5,4.05108880996704,-0.0158859007060528,0.00304149999283254,-1.41893100738525,-0.190891295671463,21.0427303314209,2.80938601493835,4.13273191452026,1.3882919549942
"Lao PDR",1992,-0.0971236005425453,"LAO",2.92154693603516,1.08180499076843,0.0387899987399578,0.0752374976873398,10,3.41444301605225,-0.0010306000476703,1.79769313486232e+308,-2.77678608894348,-0.290440887212753,30.2732696533203,2.4156129360199,4.1940450668335,1.79769313486232e+308
"Lesotho",1986,-0.03811139985919,"LSO",3.41246700286865,2.53844690322876,0.0202335007488728,0.0449346005916595,9,4.02570915222168,0.0184390991926193,-0.00184659997466952,-2.01699090003967,-0.264852106571198,12.5705299377441,1.41224205493927,4.94018316268921,1.36736595630646
"Macedonia, FYR",1998,-0.723440825939178,"MKD",-0.105360500514507,-0.342490285634994,-0.35835188627243,-0.530648410320282,5,3.33967590332031,0.102861702442169,0.0111728999763727,-1.4767609834671,-0.0983787998557091,3.40078592300415,0.357953310012817,4.59059619903564,1.79769313486232e+308
"Madagascar",1980,-0.0749453008174896,"MDG",3.89548707008362,2.98264694213867,0.0102877002209425,0.0164922997355461,21,3.84695100784302,-0.0104269003495574,-0.0110927997156978,-1.89080595970154,-0.414271593093872,17.1877994537354,2.8942608833313,3.77793788909912,1.79769313486232e+308
"Malawi",1997,-0.0790918990969658,"MWI",3.72954201698303,2.69124293327332,-0.0958335027098656,-0.158013999462128,7,3.91820406913757,0.0185823999345303,0.000916799996048212,-2.1894679069519,-0.389153599739075,21.677209854126,2.50079894065857,4.21893405914307,1.16439998149872
"Malaysia",1984,-0.297224402427673,"MYS",0.672944486141205,-0.916290700435638,-0.188069298863411,-0.230440899729729,13,3.88424110412598,0.0221692007035017,0.0400766991078854,-0.427478104829788,-0.0418376997113228,2.68130397796631,2.60835099220276,4.98101902008057,1.70055794715881
